cache-references,cycles,LLC-loads
183665685.0,4755158298.0,6675209.0
186478804.0,4758321728.0,6643227.0
173162754.0,4768417858.0,6191301.0
178000666.0,4764006156.0,6482337.0
185287292.0,4784686176.0,6738298.0
176375585.0,4751470773.0,6338038.0
185600332.0,4790899196.0,6718426.0
174511998.0,4731974743.0,6191484.0
175190341.0,4740983010.0,6333738.0
187872522.0,4781742715.0,6834068.0
181720094.0,4743590443.0,6296592.0
182070369.0,4761182898.0,6585918.0
183351268.0,4769909040.0,6702629.0
180004038.0,4742528161.0,6717208.0
186649510.0,4776842700.0,6958594.0
173762065.0,4721047650.0,6171748.0
181109249.0,4748820330.0,6564491.0
175262860.0,4729955686.0,6153570.0
187766267.0,4787272898.0,6823652.0
181981281.0,4767196715.0,6641982.0
175132559.0,4779949921.0,6332042.0
185903486.0,4800109156.0,6941808.0
188339873.0,4797920775.0,6836122.0
177929302.0,4708614111.0,6359304.0
174878116.0,4748504207.0,6089672.0
189698404.0,4810142844.0,6975573.0
181099041.0,4808696167.0,6526227.0
178343859.0,4775057928.0,6438178.0
185850124.0,4773172955.0,6846167.0
186512508.0,4780677296.0,6808919.0
174601571.0,4734556646.0,6278087.0
184445147.0,4723651247.0,6633563.0
189566659.0,4796260495.0,6881102.0
176387222.0,4767912801.0,6147239.0
174195864.0,4751212596.0,5931536.0
186080350.0,4765973577.0,6721773.0
173975581.0,4723203133.0,6248134.0
185989050.0,4773270976.0,6727176.0
175026293.0,4743173254.0,6258638.0
183659158.0,4816097124.0,6662796.0
181761266.0,4756252962.0,6473474.0
185206301.0,4761653902.0,6890060.0
184884281.0,4808811160.0,6616800.0
175910678.0,4759645574.0,6306480.0
187865611.0,4788215613.0,6800816.0
182180273.0,4754056601.0,6680957.0
184838505.0,4778127388.0,6678527.0
187611449.0,4781114831.0,6934367.0
184501019.0,4765509391.0,6640183.0
185893945.0,4797797532.0,6722261.0
180378880.0,4784413823.0,6378187.0
172948462.0,4775883226.0,6065571.0
187226237.0,4759499629.0,6813419.0
